variable,model,year,forecast,pi95_low_approx,pi95_high_approx
avg_temp,holt,2026,8.024,7.092,8.955
avg_temp,holt,2027,8.076,6.759,9.394
avg_temp,holt,2028,8.128,6.515,9.742
avg_temp,holt,2029,8.18,6.317,10.044
avg_temp,holt,2030,8.233,6.15,10.316
avg_temp,holt,2031,8.285,6.003,10.567
avg_temp,holt,2032,8.337,5.872,10.802
avg_temp,holt,2033,8.389,5.754,11.024
avg_temp,holt,2034,8.442,5.647,11.236
avg_temp,holt,2035,8.494,5.548,11.44
avg_min_temp,holt,2026,3.041,1.644,4.438
avg_min_temp,holt,2027,3.097,1.122,5.073
avg_min_temp,holt,2028,3.153,0.734,5.573
avg_min_temp,holt,2029,3.21,0.416,6.003
avg_min_temp,holt,2030,3.266,0.142,6.389
avg_min_temp,holt,2031,3.322,-0.1,6.743
avg_min_temp,holt,2032,3.378,-0.318,7.074
avg_min_temp,holt,2033,3.434,-0.518,7.385
avg_min_temp,holt,2034,3.49,-0.701,7.681
avg_min_temp,holt,2035,3.546,-0.872,7.963
snow_cover_days,linear,2026,104.215,51.411,157.019
snow_cover_days,linear,2027,103.806,29.13,178.481
snow_cover_days,linear,2028,103.396,11.938,194.855
snow_cover_days,linear,2029,102.987,0.0,208.594
snow_cover_days,linear,2030,102.577,0.0,220.65
snow_cover_days,linear,2031,102.168,0.0,231.51
snow_cover_days,linear,2032,101.759,0.0,241.464
snow_cover_days,linear,2033,101.349,0.0,250.7
snow_cover_days,linear,2034,100.94,0.0,259.35
snow_cover_days,linear,2035,100.53,0.0,267.51
snowfall_days,holt,2026,24.674,7.423,41.925
snowfall_days,holt,2027,24.514,0.117,48.911
snowfall_days,holt,2028,24.355,0.0,54.234
snowfall_days,holt,2029,24.195,0.0,58.697
snowfall_days,holt,2030,24.036,0.0,62.61
snowfall_days,holt,2031,23.876,0.0,66.132
snowfall_days,holt,2032,23.716,0.0,69.359
snowfall_days,holt,2033,23.557,0.0,72.35
snowfall_days,holt,2034,23.397,0.0,75.151
snowfall_days,holt,2035,23.238,0.0,77.791
max_snow_cm,holt,2026,63.305,0.0,137.498
max_snow_cm,holt,2027,62.491,0.0,167.416
max_snow_cm,holt,2028,61.677,0.0,190.183
max_snow_cm,holt,2029,60.863,0.0,209.249
max_snow_cm,holt,2030,60.049,0.0,225.95
max_snow_cm,holt,2031,59.235,0.0,240.97
max_snow_cm,holt,2032,58.421,0.0,254.718
max_snow_cm,holt,2033,57.607,0.0,267.457
max_snow_cm,holt,2034,56.794,0.0,279.373
max_snow_cm,holt,2035,55.98,0.0,290.599
frost_days,holt,2026,13.101,0.0,39.751
frost_days,holt,2027,12.357,0.0,50.047
frost_days,holt,2028,11.614,0.0,57.773
frost_days,holt,2029,10.87,0.0,64.171
frost_days,holt,2030,10.127,0.0,69.719
frost_days,holt,2031,9.383,0.0,74.663
frost_days,holt,2032,8.639,0.0,79.15
frost_days,holt,2033,7.896,0.0,83.274
frost_days,holt,2034,7.152,0.0,87.103
frost_days,holt,2035,6.409,0.0,90.684
ice_days,holt,2026,14.877,0.0,35.054
ice_days,holt,2027,14.275,0.0,42.809
ice_days,holt,2028,13.672,0.0,48.619
ice_days,holt,2029,13.069,0.0,53.423
ice_days,holt,2030,12.467,0.0,57.583
ice_days,holt,2031,11.864,0.0,61.286
ice_days,holt,2032,11.261,0.0,64.643
ice_days,holt,2033,10.658,0.0,67.726
ice_days,holt,2034,10.056,0.0,70.585
ice_days,holt,2035,9.453,0.0,73.257
