variable,model,test_start_year,test_end_year,mae,rmse,best_model
avg_temp,naive,2011,2025,0.487,0.62,False
avg_temp,linear,2011,2025,0.646,0.703,False
avg_temp,holt,2011,2025,0.389,0.475,True
avg_min_temp,naive,2011,2025,0.62,0.747,False
avg_min_temp,linear,2011,2025,0.702,0.825,False
avg_min_temp,holt,2011,2025,0.533,0.713,True
snow_cover_days,naive,2011,2025,24.6,30.641,False
snow_cover_days,linear,2011,2025,23.123,26.941,True
snow_cover_days,holt,2011,2025,24.303,27.828,False
snowfall_days,naive,2011,2025,8.2,11.186,False
snowfall_days,linear,2011,2025,6.956,8.525,False
snowfall_days,holt,2011,2025,6.581,8.802,True
max_snow_cm,naive,2011,2025,40.067,46.861,False
max_snow_cm,linear,2011,2025,33.53,37.819,False
max_snow_cm,holt,2011,2025,33.382,37.854,True
frost_days,naive,2011,2025,11.867,15.192,False
frost_days,linear,2011,2025,12.899,14.106,False
frost_days,holt,2011,2025,11.823,13.597,True
ice_days,naive,2011,2025,10.0,13.1,False
ice_days,linear,2011,2025,9.677,10.835,False
ice_days,holt,2011,2025,9.143,10.294,True
